2025-12-11 16:28:27,147 - [2025-12-11 16:28:27] Received message: {'TIMESTAMP': '162826.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 35.944881439208984, 'LON': 126.5564956665039, 'QUAL': 1, 'ALT': 17.845, 'KPH': '0.2', 'HDOP': 1.49, 'SAT': 7, 'D_AGE': 0.0, 'D_ID': '', 'NS': 'N', 'EW': 'E'} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 16:28:29,650 - [2025-12-11 16:28:29] Received message: {'TIMESTAMP': '162828.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 35.944881439208984, 'LON': 126.5564956665039, 'QUAL': 1, 'ALT': 17.894, 'KPH': '0.1', 'HDOP': 1.49, 'SAT': 7, 'D_AGE': 0.0, 'D_ID': '', 'NS': 'N', 'EW': 'E'} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 16:28:31,307 - [2025-12-11 16:28:31] Received message: {'TIMESTAMP': '162830.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 35.94488525390625, 'LON': 126.5564956665039, 'QUAL': 1, 'ALT': 17.786, 'KPH': '0.1', 'HDOP': 1.49, 'SAT': 7, 'D_AGE': 0.0, 'D_ID': '', 'NS': 'N', 'EW': 'E'} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 16:28:33,810 - [2025-12-11 16:28:33] Received message: {'TIMESTAMP': '162832.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 35.944881439208984, 'LON': 126.5564956665039, 'QUAL': 1, 'ALT': 17.78, 'KPH': '0.1', 'HDOP': 1.49, 'SAT': 7, 'D_AGE': 0.0, 'D_ID': '', 'NS': 'N', 'EW': 'E'} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 16:28:35,479 - [2025-12-11 16:28:35] Received message: {'TIMESTAMP': '162835.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 35.944881439208984, 'LON': 126.5564956665039, 'QUAL': 1, 'ALT': 17.773, 'KPH': '0.1', 'HDOP': 1.49, 'SAT': 7, 'D_AGE': 0.0, 'D_ID': '', 'NS': 'N', 'EW': 'E'} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 16:28:37,982 - [2025-12-11 16:28:37] Received message: {'TIMESTAMP': '162837.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 35.944881439208984, 'LON': 126.5564956665039, 'QUAL': 1, 'ALT': 17.743, 'KPH': '0.0', 'HDOP': 1.49, 'SAT': 7, 'D_AGE': 0.0, 'D_ID': '', 'NS': 'N', 'EW': 'E'} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 16:28:39,559 - [2025-12-11 16:28:39] Received message: {'TIMESTAMP': '162839.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 35.944881439208984, 'LON': 126.5564956665039, 'QUAL': 1, 'ALT': 17.734, 'KPH': '0.2', 'HDOP': 1.49, 'SAT': 7, 'D_AGE': 0.0, 'D_ID': '', 'NS': 'N', 'EW': 'E'} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 16:28:42,062 - [2025-12-11 16:28:42] Received message: {'TIMESTAMP': '162841.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 35.944881439208984, 'LON': 126.5564956665039, 'QUAL': 1, 'ALT': 17.727, 'KPH': '0.0', 'HDOP': 1.49, 'SAT': 7, 'D_AGE': 0.0, 'D_ID': '', 'NS': 'N', 'EW': 'E'} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 16:28:43,727 - [2025-12-11 16:28:43] Received message: {'TIMESTAMP': '162843.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 35.94487762451172, 'LON': 126.5564956665039, 'QUAL': 1, 'ALT': 17.765, 'KPH': '0.1', 'HDOP': 1.49, 'SAT': 7, 'D_AGE': 0.0, 'D_ID': '', 'NS': 'N', 'EW': 'E'} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 16:28:45,711 - [2025-12-11 16:28:45] Received message: {'TIMESTAMP': '162845.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 35.94487762451172, 'LON': 126.5564956665039, 'QUAL': 1, 'ALT': 17.777, 'KPH': '0.3', 'HDOP': 1.49, 'SAT': 7, 'D_AGE': 0.0, 'D_ID': '', 'NS': 'N', 'EW': 'E'} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 16:28:48,214 - [2025-12-11 16:28:48] Received message: {'TIMESTAMP': '162847.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 35.94487762451172, 'LON': 126.55651092529297, 'QUAL': 1, 'ALT': 17.799, 'KPH': '0.1', 'HDOP': 1.49, 'SAT': 7, 'D_AGE': 0.0, 'D_ID': '', 'NS': 'N', 'EW': 'E'} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 16:28:49,872 - [2025-12-11 16:28:49] Received message: {'TIMESTAMP': '162849.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 35.94487762451172, 'LON': 126.55651092529297, 'QUAL': 1, 'ALT': 17.836, 'KPH': '0.2', 'HDOP': 1.49, 'SAT': 7, 'D_AGE': 0.0, 'D_ID': '', 'NS': 'N', 'EW': 'E'} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 16:28:51,871 - [2025-12-11 16:28:51] Received message: {'TIMESTAMP': '162851.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 35.94487380981445, 'LON': 126.55651092529297, 'QUAL': 1, 'ALT': 17.799, 'KPH': '0.1', 'HDOP': 1.49, 'SAT': 7, 'D_AGE': 0.0, 'D_ID': '', 'NS': 'N', 'EW': 'E'} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 16:28:54,374 - [2025-12-11 16:28:54] Received message: {'TIMESTAMP': '162853.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 35.94487380981445, 'LON': 126.55651092529297, 'QUAL': 1, 'ALT': 17.808, 'KPH': '0.2', 'HDOP': 1.49, 'SAT': 7, 'D_AGE': 0.0, 'D_ID': '', 'NS': 'N', 'EW': 'E'} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 16:28:56,030 - [2025-12-11 16:28:56] Received message: {'TIMESTAMP': '162855.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 35.94486999511719, 'LON': 126.55651092529297, 'QUAL': 1, 'ALT': 17.851, 'KPH': '0.4', 'HDOP': 1.49, 'SAT': 7, 'D_AGE': 0.0, 'D_ID': '', 'NS': 'N', 'EW': 'E'} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 16:28:58,031 - [2025-12-11 16:28:58] Received message: {'TIMESTAMP': '162857.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 35.94486999511719, 'LON': 126.55651092529297, 'QUAL': 1, 'ALT': 17.898, 'KPH': '0.2', 'HDOP': 1.49, 'SAT': 7, 'D_AGE': 0.0, 'D_ID': '', 'NS': 'N', 'EW': 'E'} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 16:29:01,035 - [2025-12-11 16:29:01] Received message: {'TIMESTAMP': '162859.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 35.94486618041992, 'LON': 126.55651092529297, 'QUAL': 1, 'ALT': 17.889, 'KPH': '0.1', 'HDOP': 1.49, 'SAT': 7, 'D_AGE': 0.0, 'D_ID': '', 'NS': 'N', 'EW': 'E'} on topic 'pico/cursor/tx' with QoS 0
