2025-12-11 15:36:47,563 - [2025-12-11 15:36:47] Received message: {'TIMESTAMP': '090000.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 0.0, 'LON': 0.0, 'QUAL': 0, 'ALT': 0.0, 'KPH': '0.0', 'HDOP': 99.99, 'SAT': 0, 'D_AGE': 0.0, 'D_ID': '', 'NS': '', 'EW': ''} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 15:36:49,564 - [2025-12-11 15:36:49] Received message: {'TIMESTAMP': '153649.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 0.0, 'LON': 0.0, 'QUAL': 0, 'ALT': 0.0, 'KPH': '0.0', 'HDOP': 99.99, 'SAT': 0, 'D_AGE': 0.0, 'D_ID': '', 'NS': '', 'EW': ''} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 15:36:51,643 - [2025-12-11 15:36:51] Received message: {'TIMESTAMP': '153651.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 0.0, 'LON': 0.0, 'QUAL': 0, 'ALT': 0.0, 'KPH': '0.0', 'HDOP': 99.99, 'SAT': 0, 'D_AGE': 0.0, 'D_ID': '', 'NS': '', 'EW': ''} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 15:36:53,644 - [2025-12-11 15:36:53] Received message: {'TIMESTAMP': '153653.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 0.0, 'LON': 0.0, 'QUAL': 0, 'ALT': 0.0, 'KPH': '0.0', 'HDOP': 99.99, 'SAT': 0, 'D_AGE': 0.0, 'D_ID': '', 'NS': '', 'EW': ''} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 15:36:55,723 - [2025-12-11 15:36:55] Received message: {'TIMESTAMP': '153655.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 0.0, 'LON': 0.0, 'QUAL': 0, 'ALT': 0.0, 'KPH': '0.0', 'HDOP': 99.99, 'SAT': 0, 'D_AGE': 0.0, 'D_ID': '', 'NS': '', 'EW': ''} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 15:36:57,803 - [2025-12-11 15:36:57] Received message: {'TIMESTAMP': '153657.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 0.0, 'LON': 0.0, 'QUAL': 0, 'ALT': 0.0, 'KPH': '0.0', 'HDOP': 99.99, 'SAT': 0, 'D_AGE': 0.0, 'D_ID': '', 'NS': '', 'EW': ''} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 15:36:59,803 - [2025-12-11 15:36:59] Received message: {'TIMESTAMP': '153659.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 0.0, 'LON': 0.0, 'QUAL': 0, 'ALT': 0.0, 'KPH': '0.0', 'HDOP': 99.99, 'SAT': 0, 'D_AGE': 0.0, 'D_ID': '', 'NS': '', 'EW': ''} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 15:37:02,306 - [2025-12-11 15:37:02] Received message: {'TIMESTAMP': '153701.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 0.0, 'LON': 0.0, 'QUAL': 0, 'ALT': 0.0, 'KPH': '0.0', 'HDOP': 99.99, 'SAT': 0, 'D_AGE': 0.0, 'D_ID': '', 'NS': '', 'EW': ''} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 15:37:03,955 - [2025-12-11 15:37:03] Received message: {'TIMESTAMP': '153703.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 0.0, 'LON': 0.0, 'QUAL': 0, 'ALT': 0.0, 'KPH': '0.0', 'HDOP': 99.99, 'SAT': 0, 'D_AGE': 0.0, 'D_ID': '', 'NS': '', 'EW': ''} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 15:37:05,954 - [2025-12-11 15:37:05] Received message: {'TIMESTAMP': '153705.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 0.0, 'LON': 0.0, 'QUAL': 0, 'ALT': 0.0, 'KPH': '0.0', 'HDOP': 99.99, 'SAT': 0, 'D_AGE': 0.0, 'D_ID': '', 'NS': '', 'EW': ''} on topic 'pico/cursor/tx' with QoS 0
